,Total,,Men,Women,Men,Women,,
,Number of workers,Median weekly earnings,Median weekly earnings,Median weekly earnings,Salary,Salary,,
Pharmacists,214,"1,995","2,176","1,902",113152,98904,,
Nurse practitioners,100,"1,683",-,"1,682",,87464,,
Lawyers,737,"1,807","1,915","1,590",99580,82680,,
Chief executives,"1,077","2,023","2,246","1,572",116792,81744,69.99%,-30.01%
Computer and information systems managers,623,"1,730","1,763","1,529",91676,79508,,
"Software developers, applications and systems software","1,141","1,693","1,736","1,457",90272,75764,,
Physical therapists,193,"1,387","1,478","1,307",76856,67964,,
Human resources managers,234,"1,382","1,827","1,300",95004,67600,,
Purchasing managers,180,"1,329","1,366","1,276",71032,66352,,
Civil engineers,317,"1,383","1,406","1,275",73112,66300,,
"Physical scientists, all other",179,"1,447","1,547","1,262",80444,65624,,
Computer systems analysts,419,"1,385","1,460","1,259",75920,65468,,
Computer programmers,438,"1,409","1,447","1,253",75244,65156,,
Physicians and surgeons,759,"1,661","2,002","1,246",104104,64792,,
Management analysts,551,"1,470","1,665","1,239",86580,64428,,
Operations research analysts,134,"1,276","1,457","1,233",75764,64116,,
Financial analysts,226,"1,434","1,493","1,224",77636,63648,,
Medical and health services managers,541,"1,266","1,448","1,215",75296,63180,,
Psychologists,124,"1,232",-,"1,212",,63024,,
Education administrators,730,"1,272","1,439","1,171",74828,60892,,
Computer and mathematical occupations,"3,879","1,368","1,435","1,165",74620,60580,,
Architecture and engineering occupations,"2,527","1,377","1,413","1,158",73476,60216,,
"Managers, all other","2,609","1,322","1,412","1,153",73424,59956,,
Marketing and sales managers,823,"1,405","1,624","1,150",84448,59800,,
Postsecondary teachers,860,"1,256","1,409","1,143",73268,59436,,
Medical scientists,137,"1,267","1,449","1,141",75348,59332,,
Probation officers and correctional treatment specialists,95,999,-,"1,141",,59332,,
Occupational therapists,80,"1,146",-,"1,139",,59228,,
General and operations managers,843,"1,276","1,350","1,136",70200,59072,84.15%,-15.85%
Management occupations,"11,881","1,295","1,454","1,127",75608,58604,77.51%,-22.49%
Financial managers,"1,133","1,325","1,671","1,127",86892,58604,,
Compliance officers,226,"1,157","1,237","1,092",64324,56784,,
Speech-language pathologists,101,"1,086",-,"1,089",,56628,,
Registered nurses,"2,309","1,090","1,190","1,076",61880,55952,,
"Life, physical, and social science occupations","1,124","1,168","1,247","1,062",64844,55224,,
"Management, business, and financial operations occupations","17,561","1,227","1,416","1,056",73632,54912,74.58%,-25.42%
